bigg	name	super_class	class	sub_class
thm	Thiamine	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
26dap__M	Meso-2,6-Diaminoheptanedioate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
3cmp	3 CMP	Nucleosides, nucleotides, and analogues	Ribonucleoside 3'-phosphates	Ribonucleoside 3'-phosphates
5mtr	5-Methylthio-D-ribose	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives
chols	Choline sulfate	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal sulfates
citr__L	L-Citrulline	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glyald	D-Glyceraldehyde	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides
id3acald	Indole 3 acetaldehyde	Organoheterocyclic compounds	Indoles and derivatives	Indoles and derivatives
malt	Maltose	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Oligosaccharides
pnto__R	(R)-Pantothenate	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
progly	Prolylglycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
uaagmda	uaagmda	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives
udcpp	Undecaprenyl phosphate	Lipids and lipid-like molecules	Prenol lipids	Polyprenols
10fthf	10-Formyltetrahydrofolate	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
12ppd__S	(S)-Propane-1,2-diol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
13Shocdcy1829Z11Ea	13S-hydroxyoctadecadienoic acid	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives
13Shpocdcy1829Z11Ea	13-L-Hydroperoxylinoleic acid	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives
13dpg	3-phosphonato-D-glyceroyl Phosphate(4-)	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
13oocdcy1829Z11Ea	13-OxoODE	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives
15dap	Cadaverine	Organic nitrogen compounds	Organonitrogen compounds	Amines
1Dgali	Galactinol	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
1acpc	1-Aminocyclopropanecarboxylic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
1agpe140	LysoPE(14:0/0:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines
1agpe160	LysoPE(16:0/0:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines
1agpg180	1-Stearoylglycerophosphoglycerol	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoglycerols
1btol	1-Butanol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
1ddecg3p	1-dodecanoyl-glycero-3-phosphate	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates
1mncam	1-Methylnicotinamide	Organoheterocyclic compounds	Pyridines and derivatives	Pyridinecarboxylic acids and derivatives
1mpyr	1-Methylpyrrolinium	Organoheterocyclic compounds	Pyrrolines	
1odecg3p	LysoPA(18:0/0:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates
1p3h5c	(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
1pipdn2c	D-1-Piperideine-2-carboxylic acid	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines
1pipdn2c	1-piperideine-2-carboxylate	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines
1pyr5c	1-Pyrroline-5-carboxylic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
1tdecg3p	1-tetradecanoyl-sn-glycero-3-phosphate	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates
23cump	Uridine 2',3'-cyclic phosphate	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Cyclic pyrimidine nucleotides
23dappa	2,3-Diaminopropionic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
23dhb	2-Pyrocatechuic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
