community	medium	size	mip	mro
comm_6_150	complete	6	18	0.29
comm_6_151	complete	6	17	0.3170731707317073
comm_6_152	complete	6	10	0.26875000000000004
comm_6_153	complete	6	20	0.3219512195121952
comm_6_154	complete	6	19	0.2608695652173913
comm_6_155	complete	6	17	0.3368421052631579
comm_6_156	complete	6	16	0.33962264150943394
comm_6_157	complete	6	17	0.27076923076923076
comm_6_158	complete	6	26	0.26842105263157895
comm_6_159	complete	6	12	0.35
comm_6_160	complete	6	24	0.3116883116883117
comm_6_161	complete	6	17	0.3365853658536585
comm_6_162	complete	6	10	0.32
comm_6_163	complete	6	20	0.28314606741573034
comm_6_164	complete	6	7	0.38095238095238093
comm_6_165	complete	6	13	0.3
comm_6_166	complete	6	20	0.3095238095238095
comm_6_167	complete	6	15	0.3090909090909091
comm_6_168	complete	6	10	0.32941176470588235
comm_6_169	complete	6	12	0.32799999999999996
comm_6_170	complete	6	12	0.3649122807017544
comm_6_171	complete	6	15	0.36296296296296293
comm_6_172	complete	6	15	0.2535211267605634
comm_6_173	complete	6	19	0.2789473684210526
comm_6_174	complete	6	9	0.35555555555555557
comm_6_175	complete	6	10	0.4173913043478261
comm_6_176	complete	6	19	0.295
comm_6_177	complete	6	21	0.22424242424242424
comm_6_178	complete	6	11	0.35
comm_6_179	complete	6	11	0.3724137931034483
comm_6_180	complete	6	17	0.2777777777777778
comm_6_181	complete	6	21	0.295
comm_6_182	complete	6	18	0.3358024691358025
comm_6_183	complete	6	15	0.31648351648351647
comm_6_184	complete	6	10	0.38688524590163936
comm_6_185	complete	6	2	0.6181818181818182
comm_6_186	complete	6	12	0.31851851851851853
comm_6_187	complete	6	17	0.27692307692307694
comm_6_188	complete	6	22	0.30617283950617286
comm_6_189	complete	6	18	0.2333333333333333
comm_6_190	complete	6	20	0.28484848484848485
comm_6_191	complete	6	19	0.2646153846153846
comm_6_192	complete	6	9	0.41860465116279066
comm_6_193	complete	6	10	0.2823529411764706
comm_6_194	complete	6	11	0.32727272727272727
comm_6_195	complete	6	9	0.3737704918032787
comm_6_196	complete	6	17	0.34418604651162793
comm_6_197	complete	6	24	0.24935064935064935
comm_6_198	complete	6	15	0.2909090909090909
comm_6_199	complete	6	15	0.2986666666666667
