community	medium	size	mip	mro
sim_47	complete	5	4	0.7533333333333334
sim_87	complete	5	4	0.7533333333333334
sim_82	complete	5	4	0.7866666666666667
sim_68	complete	5	4	0.7567567567567567
sim_54	complete	5	4	0.7567567567567567
sim_57	complete	5	4	0.7866666666666667
sim_28	complete	5	4	0.7533333333333334
sim_7	complete	5	4	0.7466666666666666
sim_23	complete	5	4	0.7866666666666667
sim_18	complete	5	4	0.732876712328767
sim_93	complete	5	4	0.7866666666666667
sim_100	complete	5	4	0.7866666666666667
sim_14	complete	5	4	0.7567567567567567
sim_81	complete	5	4	0.7567567567567567
sim_11	complete	5	5	0.7567567567567567
sim_70	complete	5	4	0.7866666666666667
sim_61	complete	5	4	0.7567567567567567
sim_10	complete	5	4	0.7533333333333334
sim_44	complete	5	4	0.7866666666666667
sim_1	complete	5	4	0.7866666666666667
sim_32	complete	5	4	0.7533333333333334
sim_59	complete	5	4	0.7866666666666667
sim_89	complete	5	5	0.7866666666666667
sim_38	complete	5	4	0.7666666666666667
sim_46	complete	5	4	0.7866666666666667
sim_37	complete	5	4	0.7866666666666667
sim_35	complete	5	4	0.7666666666666667
sim_40	complete	5	4	0.7866666666666667
sim_20	complete	5	4	0.7567567567567567
sim_36	complete	5	4	0.7866666666666667
sim_33	complete	5	4	0.7866666666666667
sim_49	complete	5	4	0.7866666666666667
sim_8	complete	5	4	0.7567567567567567
sim_96	complete	5	4	0.7866666666666667
sim_74	complete	5	4	0.7567567567567567
sim_31	complete	5	5	0.7567567567567567
sim_94	complete	5	4	0.7466666666666666
sim_15	complete	5	4	0.7533333333333334
sim_85	complete	5	5	0.7533333333333334
sim_12	complete	5	4	0.7866666666666667
sim_17	complete	5	4	0.7567567567567567
sim_27	complete	5	4	0.7466666666666666
sim_95	complete	5	4	0.7866666666666667
sim_6	complete	5	5	0.7866666666666667
sim_71	complete	5	4	0.7866666666666667
sim_3	complete	5	4	0.7533333333333334
sim_43	complete	5	4	0.7866666666666667
sim_77	complete	5	4	0.7866666666666667
sim_69	complete	5	4	0.7777777777777777
sim_50	complete	5	4	0.7533333333333334
sim_45	complete	5	4	0.7866666666666667
sim_4	complete	5	4	0.7866666666666667
sim_75	complete	5	4	0.7866666666666667
sim_80	complete	5	4	0.7666666666666667
sim_98	complete	5	5	0.7567567567567567
sim_90	complete	5	4	0.7567567567567567
sim_97	complete	5	4	0.7866666666666667
sim_86	complete	5	4	0.7666666666666667
sim_26	complete	5	4	0.76
sim_42	complete	5	4	0.7866666666666667
sim_62	complete	5	4	0.7567567567567567
sim_52	complete	5	4	0.7533333333333334
sim_73	complete	5	4	0.7866666666666667
sim_13	complete	5	4	0.732876712328767
sim_83	complete	5	4	0.7866666666666667
sim_39	complete	5	4	0.7866666666666667
sim_79	complete	5	4	0.777027027027027
sim_76	complete	5	4	0.7567567567567567
sim_16	complete	5	4	0.7666666666666667
sim_5	complete	5	4	0.7638888888888888
sim_41	complete	5	4	0.7866666666666667
sim_92	complete	5	4	0.7866666666666667
sim_34	complete	5	4	0.76
sim_66	complete	5	4	0.7533333333333334
sim_67	complete	5	4	0.7866666666666667
sim_64	complete	5	4	0.7866666666666667
sim_48	complete	5	4	0.7466666666666666
sim_78	complete	5	4	0.7866666666666667
sim_21	complete	5	4	0.7866666666666667
sim_9	complete	5	4	0.7533333333333334
sim_88	complete	5	4	0.7466666666666666
sim_55	complete	5	4	0.7466666666666666
sim_91	complete	5	4	0.7364864864864865
sim_65	complete	5	4	0.7533333333333334
sim_58	complete	5	5	0.7866666666666667
sim_72	complete	5	5	0.7866666666666667
sim_30	complete	5	4	0.7567567567567567
sim_29	complete	5	4	0.7866666666666667
sim_99	complete	5	4	0.7567567567567567
sim_51	complete	5	4	0.7866666666666667
sim_60	complete	5	5	0.7533333333333334
sim_22	complete	5	4	0.7866666666666667
sim_53	complete	5	4	0.7866666666666667
sim_2	complete	5	4	0.7866666666666667
sim_84	complete	5	4	0.7866666666666667
sim_24	complete	5	4	0.75
sim_63	complete	5	4	0.7866666666666667
sim_56	complete	5	4	0.7866666666666667
sim_25	complete	5	4	0.7466666666666666
sim_19	complete	5	4	0.7866666666666667
