community	medium	size	mip	mro
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7567567567567567
gut_impaired	complete	5	4	0.7567567567567567
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7533333333333334
gut_impaired	complete	5	4	0.7567567567567567
gut_impaired	complete	5	4	0.7533333333333334
gut_impaired	complete	5	4	0.7567567567567567
gut_impaired	complete	5	4	0.7671232876712328
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7739726027397261
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7533333333333334
gut_impaired	complete	5	4	0.7533333333333334
gut_impaired	complete	5	4	0.7567567567567567
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7799999999999999
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7638888888888888
gut_impaired	complete	5	4	0.7702702702702703
gut_impaired	complete	5	5	0.7397260273972603
gut_impaired	complete	5	4	0.7866666666666667
gut_impaired	complete	5	4	0.7866666666666667
