community	medium	size	mip	mro
sim_47	complete	5	5	0.782608695652174
sim_87	complete	5	4	0.7291666666666666
sim_82	complete	5	3	0.736111111111111
sim_68	complete	5	4	0.7642857142857142
sim_54	complete	5	4	0.732876712328767
sim_57	complete	5	6	0.7133333333333333
sim_28	complete	5	4	0.732876712328767
sim_7	complete	5	4	0.7323943661971831
sim_23	complete	5	5	0.732876712328767
sim_18	complete	5	4	0.782608695652174
sim_93	complete	5	4	0.732876712328767
sim_100	complete	5	4	0.767605633802817
sim_14	complete	5	4	0.8028169014084507
sim_81	complete	5	5	0.743421052631579
sim_11	complete	5	5	0.782608695652174
sim_70	complete	5	4	0.7272727272727272
sim_61	complete	5	3	0.7702702702702703
sim_10	complete	5	4	0.7499999999999999
sim_44	complete	5	3	0.767605633802817
sim_1	complete	5	5	0.7635135135135135
sim_32	complete	5	4	0.7152777777777778
sim_59	complete	5	4	0.767605633802817
sim_89	complete	5	4	0.7133333333333333
sim_38	complete	5	5	0.732876712328767
sim_46	complete	5	5	0.767605633802817
sim_37	complete	5	5	0.7642857142857142
sim_35	complete	5	4	0.732876712328767
sim_40	complete	5	4	0.782608695652174
sim_20	complete	5	5	0.7152777777777778
sim_36	complete	5	4	0.732876712328767
sim_33	complete	5	4	0.782608695652174
sim_49	complete	5	3	0.7635135135135135
sim_8	complete	5	4	0.7837837837837838
sim_96	complete	5	4	0.7642857142857142
sim_74	complete	5	4	0.782608695652174
sim_31	complete	5	5	0.7702702702702703
sim_94	complete	5	5	0.767605633802817
sim_15	complete	5	5	0.732876712328767
sim_85	complete	5	4	0.7739726027397261
sim_12	complete	5	6	0.782608695652174
sim_17	complete	5	4	0.7133333333333333
sim_27	complete	5	3	0.7708333333333333
sim_95	complete	5	4	0.732876712328767
sim_6	complete	5	4	0.732876712328767
sim_71	complete	5	5	0.7432432432432432
sim_3	complete	5	3	0.7364864864864865
sim_43	complete	5	4	0.7837837837837838
sim_77	complete	5	6	0.736111111111111
sim_69	complete	5	5	0.782608695652174
sim_50	complete	5	4	0.7569444444444444
sim_45	complete	5	5	0.767605633802817
sim_4	complete	5	5	0.75
sim_75	complete	5	5	0.7602739726027398
sim_80	complete	5	4	0.743421052631579
sim_98	complete	5	4	0.732876712328767
sim_90	complete	5	3	0.732876712328767
sim_97	complete	5	6	0.7432432432432432
sim_86	complete	5	4	0.732876712328767
sim_26	complete	5	4	0.732876712328767
sim_42	complete	5	3	0.7253521126760564
sim_62	complete	5	4	0.732876712328767
sim_52	complete	5	5	0.7499999999999999
sim_73	complete	5	5	0.75
sim_13	complete	5	5	0.8028169014084507
sim_83	complete	5	5	0.732876712328767
sim_39	complete	5	4	0.7465753424657535
sim_79	complete	5	4	0.7200000000000001
sim_76	complete	5	4	0.7191780821917808
sim_16	complete	5	4	0.732876712328767
sim_5	complete	5	5	0.732876712328767
sim_41	complete	5	4	0.732876712328767
sim_92	complete	5	5	0.732876712328767
sim_34	complete	5	4	0.743421052631579
sim_66	complete	5	4	0.732876712328767
sim_67	complete	5	4	0.7229729729729729
sim_64	complete	5	4	0.767605633802817
sim_48	complete	5	4	0.7753623188405796
sim_78	complete	5	4	0.7152777777777778
sim_21	complete	5	3	0.7077922077922078
sim_9	complete	5	4	0.767605633802817
sim_88	complete	5	5	0.7837837837837838
sim_55	complete	5	4	0.7152777777777778
sim_91	complete	5	4	0.8028169014084507
sim_65	complete	5	3	0.732876712328767
sim_58	complete	5	5	0.7171052631578948
sim_72	complete	5	5	0.7499999999999999
sim_30	complete	5	3	0.7
sim_29	complete	5	4	0.7152777777777778
sim_99	complete	5	5	0.7432432432432432
sim_51	complete	5	4	0.75
sim_60	complete	5	5	0.7054794520547946
sim_22	complete	5	5	0.7708333333333333
sim_53	complete	5	6	0.7499999999999999
sim_2	complete	5	5	0.7432432432432432
sim_84	complete	5	5	0.7323943661971831
sim_24	complete	5	4	0.732876712328767
sim_63	complete	5	4	0.732876712328767
sim_56	complete	5	4	0.732876712328767
sim_25	complete	5	4	0.7708333333333333
sim_19	complete	5	4	0.7368421052631579
