community	medium	size	mip	mro
sim_47	complete	5	5	0.7229729729729729
sim_87	complete	5	5	0.7039473684210527
sim_82	complete	5	4	0.7571428571428571
sim_68	complete	5	5	0.7229729729729729
sim_54	complete	5	5	0.7333333333333333
sim_57	complete	5	4	0.7229729729729729
sim_28	complete	5	4	0.7039473684210527
sim_7	complete	5	6	0.7887323943661971
sim_23	complete	5	4	0.7039473684210527
sim_18	complete	5	5	0.7171052631578948
sim_93	complete	5	5	0.7066666666666667
sim_100	complete	5	4	0.7200000000000001
sim_14	complete	5	5	0.7133333333333333
sim_81	complete	5	5	0.7229729729729729
sim_11	complete	5	5	0.7171052631578948
sim_70	complete	5	5	0.7171052631578948
sim_61	complete	5	5	0.7133333333333333
sim_10	complete	5	5	0.7229729729729729
sim_44	complete	5	5	0.7229729729729729
sim_1	complete	5	4	0.7133333333333333
sim_32	complete	5	5	0.7229729729729729
sim_59	complete	5	4	0.7266666666666667
sim_89	complete	5	4	0.7229729729729729
sim_38	complete	5	5	0.726027397260274
sim_46	complete	5	4	0.7229729729729729
sim_37	complete	5	4	0.7039473684210527
sim_35	complete	5	4	0.7171052631578948
sim_40	complete	5	5	0.7266666666666667
sim_20	complete	5	5	0.7039473684210527
sim_36	complete	5	4	0.7171052631578948
sim_33	complete	5	4	0.7039473684210527
sim_49	complete	5	5	0.7266666666666667
sim_8	complete	5	5	0.7171052631578948
sim_96	complete	5	5	0.7229729729729729
sim_74	complete	5	5	0.7229729729729729
sim_31	complete	5	5	0.7051282051282052
sim_94	complete	5	5	0.7171052631578948
sim_15	complete	5	4	0.6666666666666667
sim_85	complete	5	4	0.7887323943661971
sim_12	complete	5	5	0.7012987012987013
sim_17	complete	5	5	0.7229729729729729
sim_27	complete	5	5	0.7171052631578948
sim_95	complete	5	5	0.7571428571428571
sim_6	complete	5	5	0.7229729729729729
sim_71	complete	5	5	0.7051282051282052
sim_3	complete	5	5	0.7229729729729729
sim_43	complete	5	5	0.7171052631578948
sim_77	complete	5	5	0.7266666666666667
sim_69	complete	5	5	0.7077922077922078
sim_50	complete	5	5	0.75
sim_45	complete	5	4	0.7133333333333333
sim_4	complete	5	5	0.7266666666666667
sim_75	complete	5	5	0.7229729729729729
sim_80	complete	5	5	0.7229729729729729
sim_98	complete	5	4	0.7571428571428571
sim_90	complete	5	4	0.7229729729729729
sim_97	complete	5	5	0.68125
sim_86	complete	5	5	0.6883116883116883
sim_26	complete	5	4	0.6883116883116883
sim_42	complete	5	4	0.7229729729729729
sim_62	complete	5	5	0.6883116883116883
sim_52	complete	5	5	0.7229729729729729
sim_73	complete	5	5	0.7039473684210527
sim_13	complete	5	5	0.6948051948051948
sim_83	complete	5	5	0.6948051948051948
sim_39	complete	5	5	0.75
sim_79	complete	5	4	0.732876712328767
sim_76	complete	5	5	0.7571428571428571
sim_16	complete	5	5	0.7266666666666667
sim_5	complete	5	5	0.7171052631578948
sim_41	complete	5	5	0.6883116883116883
sim_92	complete	5	4	0.7266666666666667
sim_34	complete	5	5	0.7066666666666667
sim_66	complete	5	5	0.7397260273972603
sim_67	complete	5	5	0.7229729729729729
sim_64	complete	5	4	0.7229729729729729
sim_48	complete	5	5	0.7039473684210527
sim_78	complete	5	5	0.7266666666666667
sim_21	complete	5	5	0.7171052631578948
sim_9	complete	5	7	0.7012987012987013
sim_88	complete	5	4	0.7333333333333333
sim_55	complete	5	6	0.7133333333333333
sim_91	complete	5	5	0.7229729729729729
sim_65	complete	5	5	0.7266666666666667
sim_58	complete	5	5	0.7133333333333333
sim_72	complete	5	4	0.7039473684210527
sim_30	complete	5	5	0.7162162162162161
sim_29	complete	5	6	0.7094594594594594
sim_99	complete	5	5	0.7229729729729729
sim_51	complete	5	5	0.7039473684210527
sim_60	complete	5	6	0.7171052631578948
sim_22	complete	5	4	0.6883116883116883
sim_53	complete	5	5	0.7266666666666667
sim_2	complete	5	5	0.7571428571428571
sim_84	complete	5	5	0.7297297297297297
sim_24	complete	5	5	0.7266666666666667
sim_63	complete	5	5	0.7229729729729729
sim_56	complete	5	4	0.7266666666666667
sim_25	complete	5	4	0.6948051948051948
sim_19	complete	5	4	0.7337662337662338
