community	medium	size	mip	mro
sim_47	complete	5	12	0.6510416666666667
sim_87	complete	5	12	0.6391752577319588
sim_82	complete	5	13	0.6526315789473685
sim_68	complete	5	11	0.6510416666666667
sim_54	complete	5	12	0.6443298969072165
sim_57	complete	5	11	0.6510416666666667
sim_28	complete	5	11	0.6510416666666667
sim_7	complete	5	11	0.6789473684210526
sim_23	complete	5	11	0.6344086021505376
sim_18	complete	5	11	0.6340206185567011
sim_93	complete	5	12	0.6473684210526316
sim_100	complete	5	12	0.6666666666666666
sim_14	complete	5	11	0.6736842105263158
sim_81	complete	5	12	0.6510416666666667
sim_11	complete	5	11	0.6510416666666667
sim_70	complete	5	11	0.6436170212765957
sim_61	complete	5	11	0.6344086021505376
sim_10	complete	5	11	0.6510416666666667
sim_44	complete	5	12	0.6542553191489362
sim_1	complete	5	11	0.6510416666666667
sim_32	complete	5	11	0.6473684210526316
sim_59	complete	5	11	0.6344086021505376
sim_89	complete	5	11	0.6406250000000001
sim_38	complete	5	12	0.6789473684210526
sim_46	complete	5	12	0.6578947368421053
sim_37	complete	5	11	0.6842105263157895
sim_35	complete	5	11	0.6510416666666667
sim_40	complete	5	13	0.6436170212765957
sim_20	complete	5	11	0.6526315789473685
sim_36	complete	5	11	0.6510416666666667
sim_33	complete	5	11	0.6510416666666667
sim_49	complete	5	11	0.6789473684210526
sim_8	complete	5	12	0.6
sim_96	complete	5	11	0.6510416666666667
sim_74	complete	5	11	0.6526315789473685
sim_31	complete	5	14	0.6443298969072165
sim_94	complete	5	11	0.6510416666666667
sim_15	complete	5	11	0.6542553191489362
sim_85	complete	5	12	0.6542553191489362
sim_12	complete	5	11	0.6329787234042553
sim_17	complete	5	13	0.6510416666666667
sim_27	complete	5	11	0.6436170212765957
sim_95	complete	5	11	0.6443298969072165
sim_6	complete	5	12	0.6578947368421053
sim_71	complete	5	11	0.6789473684210526
sim_3	complete	5	12	0.6510416666666667
sim_43	complete	5	11	0.6542553191489362
sim_77	complete	5	11	0.6368421052631579
sim_69	complete	5	12	0.6542553191489362
sim_50	complete	5	11	0.6510416666666667
sim_45	complete	5	12	0.6458333333333334
sim_4	complete	5	11	0.6734693877551019
sim_75	complete	5	12	0.6510416666666667
sim_80	complete	5	12	0.6458333333333334
sim_98	complete	5	12	0.6666666666666666
sim_90	complete	5	11	0.6736842105263158
sim_97	complete	5	12	0.6842105263157895
sim_86	complete	5	11	0.6510416666666667
sim_26	complete	5	12	0.6510416666666667
sim_42	complete	5	12	0.6510416666666667
sim_62	complete	5	12	0.6
sim_52	complete	5	11	0.6734693877551019
sim_73	complete	5	12	0.6734693877551019
sim_13	complete	5	11	0.6542553191489362
sim_83	complete	5	12	0.6406250000000001
sim_39	complete	5	11	0.6578947368421053
sim_79	complete	5	13	0.6510416666666667
sim_76	complete	5	11	0.6063829787234043
sim_16	complete	5	11	0.6063829787234043
sim_5	complete	5	11	0.6736842105263158
sim_41	complete	5	12	0.6578947368421053
sim_92	complete	5	11	0.6510416666666667
sim_34	complete	5	13	0.6542553191489362
sim_66	complete	5	11	0.654639175257732
sim_67	complete	5	11	0.6542553191489362
sim_64	complete	5	11	0.7083333333333334
sim_48	complete	5	11	0.6770833333333334
sim_78	complete	5	12	0.6421052631578947
sim_21	complete	5	12	0.6526315789473685
sim_9	complete	5	12	0.6510416666666667
sim_88	complete	5	11	0.6368421052631579
sim_55	complete	5	12	0.6368421052631579
sim_91	complete	5	11	0.6117021276595744
sim_65	complete	5	11	0.6302083333333334
sim_58	complete	5	12	0.6510416666666667
sim_72	complete	5	14	0.6542553191489362
sim_30	complete	5	13	0.6510416666666667
sim_29	complete	5	11	0.6510416666666667
sim_99	complete	5	12	0.6368421052631579
sim_51	complete	5	12	0.6542553191489362
sim_60	complete	5	13	0.6473684210526316
sim_22	complete	5	11	0.6578947368421053
sim_53	complete	5	11	0.6
sim_2	complete	5	11	0.6649484536082475
sim_84	complete	5	11	0.6510416666666667
sim_24	complete	5	11	0.6510416666666667
sim_63	complete	5	13	0.6391752577319588
sim_56	complete	5	11	0.6510416666666667
sim_25	complete	5	11	0.6421052631578947
sim_19	complete	5	11	0.6510416666666667
