community	medium	size	mip	mro
kefir	complete	5	11	0.6842105263157895
kefir	complete	5	11	0.6734693877551019
kefir	complete	5	11	0.6842105263157895
kefir	complete	5	12	0.6789473684210526
kefir	complete	5	12	0.6542553191489362
kefir	complete	5	11	0.6406250000000001
kefir	complete	5	11	0.6505376344086021
kefir	complete	5	11	0.6526315789473685
kefir	complete	5	11	0.6510416666666667
kefir	complete	5	11	0.6666666666666666
kefir	complete	5	11	0.6855670103092785
kefir	complete	5	11	0.6578947368421053
kefir	complete	5	11	0.6526315789473685
kefir	complete	5	15	0.6510416666666667
kefir	complete	5	12	0.6526315789473685
kefir	complete	5	11	0.6510416666666667
kefir	complete	5	11	0.6510416666666667
kefir	complete	5	11	0.6542553191489362
kefir	complete	5	11	0.6510416666666667
kefir	complete	5	11	0.6736842105263158
kefir	complete	5	11	0.6542553191489362
kefir	complete	5	12	0.6542553191489362
kefir	complete	5	12	0.6421052631578947
kefir	complete	5	12	0.6443298969072165
kefir	complete	5	11	0.6510416666666667
