community	medium	size	mip	mro
comm_12_600	complete	12	16	0.4545454545454546
comm_12_601	complete	12	9	0.3686176836861768
comm_12_602	complete	12	13	0.43478260869565216
comm_12_603	complete	12	20	0.3105209397344229
comm_12_604	complete	12	16	0.36363636363636365
comm_12_605	complete	12	19	0.3181818181818182
comm_12_606	complete	12	13	0.412987012987013
comm_12_607	complete	12	14	0.3243243243243243
comm_12_608	complete	12	17	0.35945663531870425
comm_12_609	complete	12	17	0.41196777905638665
comm_12_610	complete	12	21	0.34889434889434884
comm_12_611	complete	12	13	0.44776119402985076
comm_12_612	complete	12	17	0.365967365967366
comm_12_613	complete	12	18	0.29515938606847697
comm_12_614	complete	12	14	0.29598308668076106
comm_12_615	complete	12	8	0.3696969696969697
comm_12_616	complete	12	23	0.2912801484230056
comm_12_617	complete	12	26	0.29275808936825887
comm_12_618	complete	12	21	0.36363636363636365
comm_12_619	complete	12	19	0.32404692082111436
comm_12_620	complete	12	18	0.3436563436563437
comm_12_621	complete	12	24	0.3014354066985646
comm_12_622	complete	12	21	0.36152219873150104
comm_12_623	complete	12	20	0.3002114164904862
comm_12_624	complete	12	14	0.4111888111888111
comm_12_625	complete	12	18	0.31818181818181823
comm_12_626	complete	12	19	0.3502392344497608
comm_12_627	complete	12	25	0.37239868565169765
comm_12_628	complete	12	19	0.28853754940711457
comm_12_629	complete	12	16	0.30376940133037694
comm_12_630	complete	12	16	0.34002361275088544
comm_12_631	complete	12	22	0.31256384065372833
comm_12_632	complete	12	17	0.3473193473193473
comm_12_633	complete	12	17	0.3471074380165289
comm_12_634	complete	12	12	0.36363636363636365
comm_12_635	complete	12	13	0.34735413839891455
comm_12_636	complete	12	22	0.3132313231323132
comm_12_637	complete	12	16	0.29268292682926833
comm_12_638	complete	12	18	0.3267457180500659
comm_12_639	complete	12	20	0.39955106621773284
comm_12_640	complete	12	15	0.3068181818181818
comm_12_641	complete	12	23	0.25595763459841125
comm_12_642	complete	12	19	0.29446640316205536
comm_12_643	complete	12	23	0.3205248359887535
comm_12_644	complete	12	14	0.412987012987013
comm_12_645	complete	12	7	0.40536512667660207
comm_12_646	complete	12	16	0.3268398268398269
comm_12_647	complete	12	24	0.3356643356643357
comm_12_648	complete	12	24	0.3181818181818181
comm_12_649	complete	12	17	0.3277511961722488
