community	medium	key1	key2	data
comm_38_150	complete	mip	ni	26dap__M,4abz,4hba,acald,ade,ala_B,ala__L,amp,arg__L,asn__L,asp__L,bz,cgly,chols,cit,coa,cytd,dextrin,dxyl,fe3dcit,feenter,fol,fru,glc__D,gln__L,glu__D,glyald,glyc,glycogen,gua,h2s,his__L,icit,ile__L,indole,leu__L,lys__L,mal__L,man6p,met__L,metox,n2,nac,nh4,nmn,no2,no3,o2,phe__L,pnto__R,pro__L,progly,pydxn,ribflv,ser__L,so4,taur,tet,thm,thr__L,thym,trp__L,tyr__L,uaagmda,ura,val__L
comm_38_150	complete	mip	i	26dap__M,ala_B,amp,chols,cit,dextrin,dxyl,fe3dcit,feenter,fru,glc__D,gln__L,glu__D,met__L,metox,n2,nac,nmn,no2,no3,o2,progly,ribflv,so4,taur,tet,thm
comm_38_150	complete	mro	community	26dap__M,acald,ala_B,amp,cellb,chols,cit,dxyl,fe3dcit,feenter,fru,gln__L,glu__D,met__L,metox,nac,nmn,no,no2,no3,o2,progly,ribflv,so4,taur,tet,thm
comm_38_150	complete	mro	Leptotrichia_buccalis_C_1013_b_DSM_1135	fru,gly,nac,pnto__R,so4
comm_38_150	complete	mro	Acinetobacter_populi_PBJ7	asn__L,cit,o2,so4
comm_38_150	complete	mro	Arenimonas_donghaensis_DSM_18148_HO3_R19	cytd,fe3dcit,feenter,leu__L,o2,orn,so4,val__L
comm_38_150	complete	mro	Tateyamaria_omphalii_DOK1_4	asn__L,chols,fru,nh4,nmn,o2
comm_38_150	complete	mro	Thermomonas_hydrothermalis_DSM_14834	arg__L,cit,leu__L,lys__L,man1p,o2,so4,val__L
comm_38_150	complete	mro	Anaerococcus_vaginalis_PH9	26dap__M,4abz,ade,arg__L,cit,glyald,h2s,his__L,leu__L,mal__L,nac,o2,thr__L,trp__L,ura
comm_38_150	complete	mro	Sedimenticola_thiotaurini_SIP_G1	h2s,man1p,nh4,o2,so4
comm_38_150	complete	mro	Colwellia_mytili_KCTC_52417	cit,nh4,o2,so4
comm_38_150	complete	mro	Rugamonas_rubra_ATCC_43154	chols,glyc,nh4,o2,taur
comm_38_150	complete	mro	Agromyces_flavus_CPCC_202695	cit,no,o2,so4
comm_38_150	complete	mro	Salinibacillus_kushneri_CGMCC_1_3566	arg__L,nac,o2,so4,uaagmda
comm_38_150	complete	mro	Legionella_birminghamensis_CDC_1407_AL_14	asn__L,citr__L,for,ile__L,leu__L,man1p,met__L,o2,so4,thr__L,tsul
comm_38_150	complete	mro	Halomonas_campaniensis_LS21	asn__L,glc__D,o2,so4
comm_38_150	complete	mro	Methylophaga_muralis_Bur_1	bz,g3pe,o2,so4
comm_38_150	complete	mro	Legionella_adelaidensis_1762_AUS_E	arg__L,asn__L,his__L,icit,leu__L,man6p,o2,phe__L,pro__L,ser__L,so4,thr__L,xan
comm_38_150	complete	mro	Erwinia_billingiae_Eb661	nh4,o2,ppal,so4
comm_38_150	complete	mro	Phycicoccus_cremeus_CGMCC_1_6963	cit,gln__L,glyald,nh4,o2,so4
comm_38_150	complete	mro	Clostridium_lentocellum_DSM_5427	ala__L,o2,so4
comm_38_150	complete	mro	Erwinia_iniecta_B120	dxyl,o2,pser__L,so4
comm_38_150	complete	mro	Aeromonas_fluvialis_LMG_24681	fald,nh4,o2,so4
comm_38_150	complete	mro	Brevibacterium_yomogidense_B_Co_03_10	asn__L,nmn,o2,so4
comm_38_150	complete	mro	Mycoplasma_hyosynoviae_NPL7	ala__L,amp,arg__L,asp__L,cgly,coa,fol,gln__L,gua,h2s,his__L,ile__L,indole,leu__L,lys__L,met__L,nac,o2,phe__L,ribflv,thr__L,tyr__L,uaagmda,ura,val__L
comm_38_150	complete	mro	Neisseria_mucosa_C102	asn__L,o2,so4
comm_38_150	complete	mro	Megasphaera_elsdenii_14_14	ala_B,glyc3p,no2,o2,so4
comm_38_150	complete	mro	Legionella_worsleiensis_ATCC_49508	ade,arg__L,asn__L,glc__D,his__L,leu__L,o2,orn,so4,val__L
comm_38_150	complete	mro	Gordonia_hirsuta_DSM_44140_NBRC_16056	gln__L,glu__D,inost,o2,so4
comm_38_150	complete	mro	Flavobacterium_marinum_CGMCC_1_10825	arg__L,asn__L,id3acald,ile__L,leu__L,no,o2,progly,so4,val__L
comm_38_150	complete	mro	Adhaeribacter_aquaticus_DSM_16391	glyc,no2,o2,so4
comm_38_150	complete	mro	Lactobacillus_ingluviei_str_Autruche_4	4abz,ala_B,chols,fum,glu__L,his__L,met__L,nac,o2,orn,rib__D,ribflv,trp__L,val__L
comm_38_150	complete	mro	Nitrospira_defluvii	cit,metox,no3,o2,so4
comm_38_150	complete	mro	Fusobacterium_massiliense_Marseille_P2749	26dap__M,acald,arg__L,gln__L,his__L,lys__L,no2,o2,pnto__R,pro__L,so4,tol,trp__L
comm_38_150	complete	mro	Lactobacillus_amylovorus_30SC	4abz,ala_B,arg__L,asp__L,glc__D,gln__L,h2s,his__L,id3acald,ile__L,leu__L,nmn,o2,oxa,phe__L,pro__L,ribflv,so4,tyr__L,val__L
comm_38_150	complete	mro	Oribacterium_parvum_ACB1	ala_B,arg__L,fol,glu__L,his__L,id3acald,nmn,o2,pro__L,ribflv,so4
comm_38_150	complete	mro	Agarivorans_gilvus_WH0801	cit,dxyl,o2,pro__L,rib__D,so4
comm_38_150	complete	mro	Idiomarina_woesei_DSM_27808	ile__L,leu__L,o2,so4,thr__L,val__L
comm_38_150	complete	mro	Geobacter_lovleyi_SZ	glyc,nh4,o2,so4
comm_38_150	complete	mro	Acuticoccus_yangtzensis_JL1095	dxyl,glyc,nmn,no2,o2,rib__D,so3,so4
comm_38_150	complete	mro	Neptuniibacter_marinus_ATR_1_1	acald,o2,so4,taur
