community	medium	size	mip	mro
sim_47	complete	5	15	0.5684210526315789
sim_87	complete	5	15	0.5736842105263158
sim_82	complete	5	15	0.5677083333333334
sim_68	complete	5	15	0.5789473684210527
sim_54	complete	5	14	0.5684210526315789
sim_57	complete	5	16	0.5515463917525774
sim_28	complete	5	15	0.5789473684210527
sim_7	complete	5	14	0.5677083333333334
sim_23	complete	5	16	0.5684210526315789
sim_18	complete	5	15	0.5691489361702127
sim_93	complete	5	15	0.5684210526315789
sim_100	complete	5	15	0.5677083333333334
sim_14	complete	5	15	0.5691489361702127
sim_81	complete	5	16	0.5691489361702127
sim_11	complete	5	14	0.5789473684210527
sim_70	complete	5	15	0.5736842105263158
sim_61	complete	5	15	0.5736842105263158
sim_10	complete	5	17	0.5797872340425532
sim_44	complete	5	16	0.5684210526315789
sim_1	complete	5	17	0.5625000000000001
sim_32	complete	5	15	0.5789473684210527
sim_59	complete	5	16	0.5684210526315789
sim_89	complete	5	14	0.5473684210526316
sim_38	complete	5	16	0.5691489361702127
sim_46	complete	5	15	0.5677083333333334
sim_37	complete	5	15	0.5478723404255319
sim_35	complete	5	17	0.5789473684210527
sim_40	complete	5	15	0.5789473684210527
sim_20	complete	5	15	0.5842105263157894
sim_36	complete	5	16	0.5789473684210527
sim_33	complete	5	15	0.5736842105263158
sim_49	complete	5	15	0.578125
sim_8	complete	5	15	0.5947368421052632
sim_96	complete	5	15	0.6145833333333334
sim_74	complete	5	15	0.5691489361702127
sim_31	complete	5	17	0.6041666666666666
sim_94	complete	5	15	0.5677083333333334
sim_15	complete	5	15	0.5526315789473685
sim_85	complete	5	15	0.6105263157894737
sim_12	complete	5	14	0.5684210526315789
sim_17	complete	5	16	0.6052631578947368
sim_27	complete	5	16	0.5478723404255319
sim_95	complete	5	14	0.5885416666666667
sim_6	complete	5	16	0.5842105263157894
sim_71	complete	5	14	0.5526315789473685
sim_3	complete	5	14	0.5684210526315789
sim_43	complete	5	18	0.5789473684210527
sim_77	complete	5	15	0.6041666666666666
sim_69	complete	5	15	0.5947368421052632
sim_50	complete	5	14	0.5842105263157894
sim_45	complete	5	15	0.631578947368421
sim_4	complete	5	14	0.5625000000000001
sim_75	complete	5	15	0.5677083333333334
sim_80	complete	5	16	0.5677083333333334
sim_98	complete	5	14	0.5526315789473685
sim_90	complete	5	16	0.5842105263157894
sim_97	complete	5	14	0.5894736842105263
sim_86	complete	5	16	0.5789473684210527
sim_26	complete	5	14	0.5789473684210527
sim_42	complete	5	16	0.5842105263157894
sim_62	complete	5	15	0.5789473684210527
sim_52	complete	5	17	0.5684210526315789
sim_73	complete	5	15	0.5684210526315789
sim_13	complete	5	14	0.577319587628866
sim_83	complete	5	14	0.5572916666666666
sim_39	complete	5	14	0.5736842105263158
sim_79	complete	5	15	0.5684210526315789
sim_76	complete	5	14	0.5833333333333334
sim_16	complete	5	15	0.5894736842105263
sim_5	complete	5	14	0.5578947368421052
sim_41	complete	5	15	0.59375
sim_92	complete	5	14	0.5947368421052632
sim_34	complete	5	15	0.5736842105263158
sim_66	complete	5	16	0.5691489361702127
sim_67	complete	5	16	0.5684210526315789
sim_64	complete	5	15	0.5638297872340425
sim_48	complete	5	14	0.5894736842105263
sim_78	complete	5	17	0.5833333333333334
sim_21	complete	5	16	0.5684210526315789
sim_9	complete	5	16	0.5677083333333334
sim_88	complete	5	14	0.5572916666666666
sim_55	complete	5	15	0.5736842105263158
sim_91	complete	5	16	0.5947368421052632
sim_65	complete	5	14	0.5894736842105263
sim_58	complete	5	17	0.5677083333333334
sim_72	complete	5	16	0.5691489361702127
sim_30	complete	5	15	0.5684210526315789
sim_29	complete	5	14	0.5572916666666666
sim_99	complete	5	15	0.5894736842105263
sim_51	complete	5	17	0.5789473684210527
sim_60	complete	5	15	0.5736842105263158
sim_22	complete	5	14	0.5789473684210527
sim_53	complete	5	15	0.5736842105263158
sim_2	complete	5	15	0.5677083333333334
sim_84	complete	5	14	0.5684210526315789
sim_24	complete	5	14	0.5789473684210527
sim_63	complete	5	15	0.5989583333333334
sim_56	complete	5	16	0.5894736842105263
sim_25	complete	5	15	0.5572916666666666
sim_19	complete	5	17	0.5684210526315789
