community	medium	size	mip	mro
comm_8_150	complete	8	9	0.3469387755102041
comm_8_151	complete	8	14	0.29493087557603687
comm_8_152	complete	8	10	0.28125
comm_8_153	complete	8	14	0.32786885245901637
comm_8_154	complete	8	8	0.32345013477088946
comm_8_155	complete	8	12	0.33035714285714285
comm_8_156	complete	8	17	0.26339285714285715
comm_8_157	complete	8	18	0.2585034013605442
comm_8_158	complete	8	12	0.3571428571428571
comm_8_159	complete	8	14	0.36326530612244895
comm_8_160	complete	8	14	0.2989010989010989
comm_8_161	complete	8	8	0.3673469387755102
comm_8_162	complete	8	9	0.3142857142857143
comm_8_163	complete	8	11	0.2857142857142857
comm_8_164	complete	8	9	0.32142857142857145
comm_8_165	complete	8	12	0.2328042328042328
comm_8_166	complete	8	5	0.3673469387755102
comm_8_167	complete	8	8	0.40816326530612246
comm_8_168	complete	8	6	0.30024213075060535
comm_8_169	complete	8	7	0.3558897243107769
comm_8_170	complete	8	10	0.3557951482479784
comm_8_171	complete	8	13	0.33246753246753247
comm_8_172	complete	8	9	0.2959183673469388
comm_8_173	complete	8	15	0.325
comm_8_174	complete	8	8	0.3316326530612245
comm_8_175	complete	8	12	0.31336405529953915
comm_8_176	complete	8	14	0.3456221198156682
comm_8_177	complete	8	11	0.29649595687331537
comm_8_178	complete	8	11	0.2693877551020408
comm_8_179	complete	8	13	0.2969187675070028
comm_8_180	complete	8	8	0.37912087912087916
comm_8_181	complete	8	9	0.2802197802197802
comm_8_182	complete	8	8	0.4
comm_8_183	complete	8	12	0.3469387755102041
comm_8_184	complete	8	8	0.3356009070294784
comm_8_185	complete	8	12	0.28061224489795916
comm_8_186	complete	8	11	0.30812324929971985
comm_8_187	complete	8	7	0.37402597402597404
comm_8_188	complete	8	6	0.33962264150943394
comm_8_189	complete	8	12	0.3112244897959183
comm_8_190	complete	8	16	0.3134920634920635
comm_8_191	complete	8	10	0.3221884498480243
comm_8_192	complete	8	10	0.35351089588377727
comm_8_193	complete	8	11	0.319047619047619
comm_8_194	complete	8	11	0.3384615384615385
comm_8_195	complete	8	16	0.33035714285714285
comm_8_196	complete	8	13	0.29437229437229434
comm_8_197	complete	8	13	0.3087557603686636
comm_8_198	complete	8	11	0.27428571428571424
comm_8_199	complete	8	14	0.3061224489795918
