community	medium	size	mip	mro
comm_14_750	complete	14	25	0.3495145631067962
comm_14_751	complete	14	7	0.4366515837104073
comm_14_752	complete	14	11	0.4370122630992196
comm_14_753	complete	14	24	0.3594976452119309
comm_14_754	complete	14	8	0.46153846153846156
comm_14_755	complete	14	9	0.48606465997770343
comm_14_756	complete	14	15	0.376274328081557
comm_14_757	complete	14	20	0.3536693191865606
comm_14_758	complete	14	18	0.3501326259946949
comm_14_759	complete	14	16	0.3917710196779964
comm_14_760	complete	14	17	0.38076923076923075
comm_14_761	complete	14	16	0.37362637362637363
comm_14_762	complete	14	11	0.46898263027295284
comm_14_763	complete	14	23	0.3267248215701824
comm_14_764	complete	14	21	0.34807692307692306
comm_14_765	complete	14	23	0.34027149321266975
comm_14_766	complete	14	15	0.4182015167930661
comm_14_767	complete	14	23	0.33236574746008707
comm_14_768	complete	14	27	0.3454545454545455
comm_14_769	complete	14	19	0.38649155722326456
comm_14_770	complete	14	18	0.3431952662721894
comm_14_771	complete	14	19	0.36427939876215737
comm_14_772	complete	14	17	0.39962476547842407
comm_14_773	complete	14	12	0.4324324324324324
comm_14_774	complete	14	26	0.3499577345731192
comm_14_775	complete	14	15	0.3772391991570073
comm_14_776	complete	14	12	0.42411642411642414
comm_14_777	complete	14	27	0.3251387787470262
comm_14_778	complete	14	15	0.423076923076923
comm_14_779	complete	14	23	0.3111111111111111
comm_14_780	complete	14	14	0.4067439409905163
comm_14_781	complete	14	17	0.309545875810936
comm_14_782	complete	14	20	0.3534798534798535
comm_14_783	complete	14	26	0.35789473684210527
comm_14_784	complete	14	10	0.45714285714285713
comm_14_785	complete	14	7	0.48909299655568317
comm_14_786	complete	14	11	0.4425711275026343
comm_14_787	complete	14	17	0.42203742203742206
comm_14_788	complete	14	16	0.3950617283950617
comm_14_789	complete	14	24	0.3180473372781065
comm_14_790	complete	14	17	0.37869822485207105
comm_14_791	complete	14	26	0.31043956043956045
comm_14_792	complete	14	14	0.3906655142610199
comm_14_793	complete	14	16	0.37104072398190047
comm_14_794	complete	14	21	0.292755787901419
comm_14_795	complete	14	12	0.48290598290598286
comm_14_796	complete	14	6	0.501775147928994
comm_14_797	complete	14	21	0.3452991452991453
comm_14_798	complete	14	14	0.4169453734671125
comm_14_799	complete	14	16	0.3788254755996691
