user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
ERR671910.bin.5.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__	Placement	taxonomic classification fully defined by topology	GCA_000303155.1, s__Nitrososphaera gargensis, 95.0, 76.83, 0.05	46.43	11	0.9206447385522324	N/A
ERR671910.bin.14.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	48.46	11	0.836904854865347	N/A
ERR671910.bin.13.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	55.87	11	0.831196969466063	N/A
ERR671910.bin.11.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.13	11	0.8221206145078858	N/A
ERR671910.bin.12.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	84.7	11	0.8216798142311608	N/A
ERR671910.bin.7.orig	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.02	11	0.7354252001522704	N/A
ERR671910.bin.9.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	59.86	11	0.7238504289503348	N/A
ERR671910.bin.8.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	48.69	11	0.7172697061750435	N/A
ERR671910.bin.6.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus;s__	Placement	taxonomic classification fully defined by topology	GCF_000720925.1, s__Phycicoccus jejuensis, 95.0, 80.86, 0.76; GCF_001428065.1, s__Phycicoccus sp001428065, 95.0, 80.57, 0.69; GCF_002846495.1, s__Phycicoccus duodecadis, 95.0, 80.45, 0.7; GCF_000367525.1, s__Phycicoccus elongata, 95.0, 78.53, 0.43	55.46	11	0.9295719145490822	N/A
ERR671910.bin.1.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus;s__	N/A	N/A	N/A	N/A	N/A	GCF_000270245.1	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus;s__Microlunatus phosphovorus	77.24	0.1	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	64.84	11	0.8740701042944237	N/A
ERR671910.bin.10.orig	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Jiangellales;f__Jiangellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	38.41	11	0.7578085586129916	N/A
ERR671910.bin.2.orig	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	52.64	11	0.4752938994183008	N/A
ERR671910.bin.4.orig	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	43.08	11	0.7814966802395675	N/A
ERR671910.bin.15.orig	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	N/A	N/A	N/A	N/A	N/A	GCF_900110395.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp900110395	90.61	0.96	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	Placement	taxonomic classification fully defined by topology	GCA_003153415.1, s__Reyranella sp003153415, 95.0, 83.25, 0.75; GCA_001767945.1, s__Reyranella sp001767945, 95.0, 83.19, 0.77; GCA_002281855.1, s__Reyranella sp002281855, 95.0, 82.89, 0.77; GCA_001897995.1, s__Reyranella sp001897995, 95.0, 82.82, 0.76; GCF_001557035.1, s__Reyranella sp001557035, 95.0, 82.64, 0.78; GCF_000312425.1, s__Reyranella massiliensis, 95.0, 82.49, 0.78	40.69	11	0.9688129296409574	Genome has more than 10.8% of markers with multiple hits
ERR671911.bin.5.permissive	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	43.72	11	0.7758553163634312	N/A
ERR671911.bin.10.strict	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.45	11	0.8247205427106927	N/A
ERR671911.bin.2.orig	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	69.63	11	0.7722204339225923	N/A
