community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_12ppd__S_e	0.0	0.0	1	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_15dap_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_2pglyc_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3amp_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3cmp_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3gmp_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3hcinnm_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3hoxpac_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3hpp_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3hpppn_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3mb_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_3ump_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_4abut_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_4hbz_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_4hphac_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_5mtr_e	0.0	0.0	1	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_LalaDgluMdapDala_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_LalaDgluMdap_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_LalaDglu_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_LalaLglu_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_Larab_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_ac_e	0.0	0.05	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_acac_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_acald_e	0.0	0.21	1	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_acgam_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_acmana_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_actn__R_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_ade_e	0.0	0.0	1	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_adn_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_ala__D_e	0.0	0.08	1	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_ala__L_e	0.0	0.09	1	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_alaala_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_alltn_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_amylose300_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_anhgm_e	0.0	0.0	0	0.0
all	minimal	ERR260172_bin.10.p.faa	ERR260172_bin.31.s.faa	M_arab__D_e	0.0	0.0	0	0.0
