community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_12ppd__S_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_15dap_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_26dap__M_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_2hxmp_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_2pglyc_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_34dhbz_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_3cmp_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_3pg_e	0.0	0.0	1	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_4abz_e	0.0	1.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_4hphac_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_6pgc_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_LalaLglu_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_Larab_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_Lcyst_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_acac_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_acald_e	0.0	0.69	1	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_acgam_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_acmana_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_actn__R_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_ade_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_ala__D_e	0.0	0.06	1	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_ala__L_e	0.0	0.14	1	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_alaala_e	0.0	0.0	1	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_amylose300_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_anhgm_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_arab__D_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_arab__L_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_arbt_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_arg__L_e	0.0	0.01	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_asn__L_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_asp__L_e	0.0	1.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_but_e	0.0	0.0	0	0.0
all	minimal	ERR260255_bin.14.p.faa	ERR260255_bin.19.p.faa	M_bz_e	0.0	0.01	0	0.0
