community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	230a_03182016.faa	261_03182016.faa	M_14glucan_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_26dap__M_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_2ddglcn_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_2dhglcn_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_2hxmp_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_2pglyc_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_34dhbz_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_3amp_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_3hcinnm_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_3hoxpac_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_3oxoadp_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_4abut_e	1.0	0.0	1	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_4abz_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_4hphac_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_LalaDgluMdapDala_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_Larab_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_abt__L_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_acald_e	1.0	0.02	1	0.02
all	minimal	230a_03182016.faa	261_03182016.faa	M_acgam_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_acmana_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_acnam_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_actn__R_e	1.0	0.0	1	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_ade_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_akg_e	1.0	0.93	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_ala_B_e	1.0	0.98	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_ala__D_e	1.0	0.03	1	0.03
all	minimal	230a_03182016.faa	261_03182016.faa	M_ala__L_e	1.0	0.21	1	0.21
all	minimal	230a_03182016.faa	261_03182016.faa	M_alaala_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_amylose300_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_anhgm_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_arab__D_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_arab__L_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_arbt_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_arg__L_e	1.0	0.0	1	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_ascb__L_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_aso3_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_aso4_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_asp__L_e	1.0	0.67	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_but_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_bz_e	1.0	0.02	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_ca2_e	1.0	1.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_cellb_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_cgly_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_chol_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_chols_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_cit_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_cl_e	1.0	1.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_co2_e	1.0	0.0	1	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_coa_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_cobalt2_e	1.0	1.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_crn_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_csn_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_cu2_e	1.0	0.2	1	0.2
all	minimal	230a_03182016.faa	261_03182016.faa	M_cu_e	1.0	0.8	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_cytd_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_dextrin_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_diact_e	1.0	0.0	1	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_dms_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_dmso_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_drib_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_enter_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_etha_e	1.0	0.0	1	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_fald_e	1.0	0.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_fe2_e	1.0	1.0	0	0.0
all	minimal	230a_03182016.faa	261_03182016.faa	M_fe3_e	1.0	0.16	0	0.0
