community	medium	receiver	donor	compound	scs	mus	mps	smetana
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_12ppd__S_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_2hxmp_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_3hcinnm_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_3hoxpac_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_3hpppn_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_3oxoadp_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_4abut_e	0.6666666666666666	0.23	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_4hbald_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_4hphac_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_Larab_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_T4hcinnm_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_abt__L_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_acac_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_acald_e	0.6666666666666666	0.0	1	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_acgam_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_actn__R_e	0.6666666666666666	0.24	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_agm_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_akg_e	0.6666666666666666	0.0	1	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_ala_B_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_ala__D_e	0.6666666666666666	0.0	1	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_ala__L_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_anhgm_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_arab__D_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_arab__L_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_araban__L_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_arbt_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_arg__L_e	0.6666666666666666	0.01	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_asp__L_e	0.6666666666666666	0.03	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_but_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_butso3_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_bz_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_ca2_e	0.6666666666666666	1.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_cell6_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_cellb_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_cgly_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_chol_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_chols_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_chor_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_cl_e	0.6666666666666666	1.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_co2_e	0.6666666666666666	0.0	1	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_co_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_coa_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_cobalt2_e	0.6666666666666666	1.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_crn_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_cu2_e	0.6666666666666666	1.0	1	0.6666666666666666
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_cytd_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_dad_2_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_dca_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_dcyt_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_dextrin_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_diact_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_drib_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_dtmp_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_duri_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_enter_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_etha_e	0.6666666666666666	0.0	1	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_ethso3_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_fe2_e	0.6666666666666666	1.0	1	0.6666666666666666
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_fe3_e	0.6666666666666666	0.14	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_feenter_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_fer_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_fol_e	0.6666666666666666	0.0	1	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_for_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_frmd_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_fru_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_g3pc_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_g3pe_e	0.6666666666666666	0.08	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_g3pg_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_gal_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_galctr__D_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_galman4_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_galman6_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_galur_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_gam_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_glc__D_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_glcman4_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_glcman6_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_glcn_e	0.6666666666666666	0.0	0	0.0
sim_58	minimal	ERR671933_bin.1.o.faa	ERR671933_bin.2.o.faa	M_glcur_e	0.6666666666666666	0.0	0	0.0
