user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	aa_percent	translation_table	red_value	warnings
ERR260137_bin.7.p	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A	GCF_002252585.1	95	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A	98.73	0.98	GCF_002252585.1	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A	98.73	0.98	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_000016525.1, s__Methanobrevibacter_A smithii, 95.0, 93.94, 0.97; GCA_003111605.1, s__Methanobrevibacter_A woesei, 95.0, 80.51, 0.55; GCF_001639275.1, s__Methanobrevibacter_A oralis, 95.0, 79.94, 0.57; GCF_900109595.1, s__Methanobrevibacter_A gottschalkii, 95.0, 79.86, 0.5; GCA_900314695.1, s__Methanobrevibacter_A sp900314695, 95.0, 79.62, 0.46; GCF_001548675.1, s__Methanobrevibacter_A sp001548675, 95.0, 79.57, 0.42; GCA_003111625.1, s__Methanobrevibacter_A thaueri, 95.0, 79.49, 0.29; GCA_900319535.1, s__Methanobrevibacter_A sp900319535, 95.0, 79.4, 0.46; GCF_001477655.1, s__Methanobrevibacter_A millerae, 95.0, 79.38, 0.48; GCA_900314615.1, s__Methanobrevibacter_A sp900314615, 95.0, 79.14, 0.39; GCA_900317865.1, s__Methanobrevibacter_A sp900317865, 95.0, 79.08, 0.45; GCA_002496065.1, s__Methanobrevibacter_A sp002496065, 95.0, 78.77, 0.33; GCA_900318035.1, s__Methanobrevibacter_A sp900318035, 95.0, 78.69, 0.37; GCA_900316895.1, s__Methanobrevibacter_A sp900316895, 95.0, 78.68, 0.29; GCA_900319985.1, s__Methanobrevibacter_A sp900319985, 95.0, 78.63, 0.41; GCA_900320515.1, s__Methanobrevibacter_A sp900320515, 95.0, 78.63, 0.27; GCA_900320955.1, s__Methanobrevibacter_A sp900320955, 95.0, 78.58, 0.37; GCA_900313645.1, s__Methanobrevibacter_A sp900313645, 95.0, 78.26, 0.32"	94.5	11	N/A	N/A
ERR260137_bin.10.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	GCA_003526955.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	98.24	0.88	GCA_003526955.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	98.24	0.88	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_002834235.1, s__Ruminococcus_E bromii_B, 95.0, 81.67, 0.41; GCF_002834225.1, s__Ruminococcus_E bromii, 95.0, 80.32, 0.39; GCF_900101355.1, s__Ruminococcus_E bromii_A, 95.0, 79.44, 0.25; GCA_002491825.1, s__Ruminococcus_E sp002491825, 95.0, 78.72, 0.36; GCA_002493635.1, s__Ruminococcus_E sp002493635, 95.0, 78.7, 0.29; GCA_003521625.1, s__Ruminococcus_E sp003521625, 95.0, 78.55, 0.32; GCA_002493005.1, s__Ruminococcus_E sp002493005, 95.0, 78.45, 0.32"	95.36	11	N/A	N/A
ERR260137_bin.20.o	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_K	GCA_003312465.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_K	95.57	0.84	GCA_003312465.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_K	95.57	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_002550015.1, s__Faecalibacterium prausnitzii_A, 95.0, 93.96, 0.78; GCA_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 93.63, 0.79; GCA_003449675.1, s__Faecalibacterium sp003449675, 95.0, 92.15, 0.5; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 87.71, 0.66; GCF_002549755.1, s__Faecalibacterium prausnitzii_D, 95.0, 87.29, 0.69; GCF_002549975.1, s__Faecalibacterium prausnitzii_H, 95.0, 87.1, 0.69; GCF_002550035.1, s__Faecalibacterium prausnitzii_E, 95.0, 86.75, 0.73; GCA_003293635.1, s__Faecalibacterium prausnitzii_G, 95.0, 86.46, 0.7; GCF_000162015.1, s__Faecalibacterium prausnitzii_C, 95.0, 86.37, 0.67; GCA_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 85.99, 0.62"	63.87	11	N/A	N/A
ERR260137_bin.14.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	GCA_003476825.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	97.2	0.74	GCA_003476825.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	97.2	0.74	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_900167555.1, s__Gemmiger formicilis, 95.0, 81.24, 0.54"	66.49	11	N/A	N/A
ERR260137_bin.16.o	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	GCA_000435055.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.16	0.99	GCA_000435055.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.16	0.99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	51.23	11	N/A	N/A
ERR260137_bin.1.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000437855	GCA_000437855.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000437855	99.04	0.88	GCA_000437855.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000437855	99.04	0.88	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_000435755.1, s__CAG-273 sp000435755, 95.0, 87.03, 0.82; GCA_003534295.1, s__CAG-273 sp003534295, 95.0, 79.02, 0.4; GCA_003507395.1, s__CAG-273 sp003507395, 95.0, 78.84, 0.43; GCA_000438355.1, s__CAG-273 sp000438355, 95.0, 78.39, 0.35"	88.29	11	N/A	N/A
ERR260137_bin.13.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale	GCF_000020605.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale	98.06	0.93	GCF_000020605.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale	98.06	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_900317585.1, s__Agathobacter sp900317585, 95.0, 94.72, 0.8; GCF_001405615.1, s__Agathobacter faecis, 95.0, 79.25, 0.13"	84.44	11	N/A	N/A
ERR260137_bin.11.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena torques	GCF_000153925.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena torques	99.51	0.96	GCF_000153925.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena torques	99.51	0.96	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	66.9	11	N/A	N/A
ERR260137_bin.12.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B	GCA_000434415.1	95.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B	98.84	0.95	GCA_000434415.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B	98.84	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_000146185.1, s__Lachnospira eligens, 95.63, 95.71, 0.92; GCA_003451515.1, s__Lachnospira sp003451515, 95.0, 94.53, 0.88; GCA_003537285.1, s__Lachnospira sp003537285, 95.36, 93.94, 0.91"	63.13	11	N/A	N/A
ERR260137_bin.5.p	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	GCF_000160055.1	95	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	97.26	0.94	GCF_000160055.1	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	97.26	0.94	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	77.94	11	N/A	N/A
